,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
36,Lata,40.16,-8.33,59.0,87,20,10.29,PT,1587076901
37,Provideniya,64.38,-173.3,30.2,80,90,13.42,RU,1587076901
38,Shimoda,34.67,138.95,53.6,71,75,11.41,JP,1587076895
39,Ribeira Brava,32.65,-17.07,62.6,63,20,6.93,PT,1587076901
40,Barrow,71.29,-156.79,15.8,85,90,11.41,US,1587076901
41,Jamestown,42.1,-79.24,39.2,47,90,19.46,US,1587076902
42,Cabedelo,-6.98,-34.83,77.0,94,75,4.7,BR,1587076902
43,Katsuura,35.13,140.3,51.01,66,75,8.05,JP,1587076902
44,Hobart,-42.88,147.33,48.99,66,20,19.46,AU,1587076632
45,Beringovskiy,63.05,179.32,24.93,96,97,18.07,RU,1587076902
46,Atuona,-9.8,-139.03,82.76,72,29,12.1,PF,1587076766
47,Cockburn Town,21.46,-71.14,79.09,80,7,13.91,TC,1587076617
48,Umluj,25.02,37.27,75.56,38,25,3.4,SA,1587076904
49,Verāval,20.9,70.37,78.89,56,37,11.07,IN,1587076805
50,Qaanaaq,77.48,-69.36,16.02,83,100,2.13,GL,1587076904
51,Buchanan,5.88,-10.05,81.54,86,78,6.17,LR,1587076905
52,Tuktoyaktuk,69.45,-133.04,19.4,79,90,16.11,CA,1587076687
53,Klaksvík,62.23,-6.59,37.4,93,51,1.12,FO,1587076724
54,Kahului,20.89,-156.47,82.4,48,20,16.11,US,1587076769
55,Busselton,-33.65,115.33,53.01,59,13,8.05,AU,1587076673
56,East London,-33.02,27.91,63.12,67,0,4.65,ZA,1587076906
57,Arraial do Cabo,-22.97,-42.03,77.0,83,40,2.24,BR,1587076783
58,Pevek,69.7,170.31,15.33,94,97,3.11,RU,1587076775
59,Ilebo,-4.32,20.58,73.72,84,99,2.01,CD,1587076906
60,Cherskiy,68.75,161.3,9.72,92,50,5.48,RU,1587076907
61,Mtambile,-5.38,39.7,82.62,79,100,17.18,TZ,1587076907
62,Vaini,-21.2,-175.2,78.8,78,75,5.82,TO,1587076907
63,Bluff,-46.6,168.33,46.0,95,100,4.0,NZ,1587076680
64,Kapaa,22.08,-159.32,80.6,65,40,12.75,US,1587076907
65,Goderich,43.75,-81.72,37.99,67,69,10.69,CA,1587076908
66,Saint-Philippe,-21.36,55.77,73.4,69,19,14.99,RE,1587076701
67,Kumul,42.8,93.45,63.54,22,95,9.64,CN,1587076770
68,Gushikawa,26.35,127.87,66.2,87,1,3.36,JP,1587076908
69,Xining,36.62,101.77,41.85,20,96,0.6,CN,1587076908
70,Kieta,-6.22,155.63,79.32,84,100,7.72,PG,1587076717
71,Karratha,-20.74,116.85,84.38,62,90,12.57,AU,1587076711
72,Asău,46.43,26.4,50.0,53,28,6.93,RO,1587076909
73,Aketi,2.74,23.78,75.92,63,46,1.25,CD,1587076909
74,Nishihara,26.18,127.76,66.2,72,1,13.04,JP,1587076909
75,Malanje,-9.54,16.34,66.47,67,100,0.94,AO,1587076910
76,Yellowknife,62.46,-114.35,32.0,92,90,11.41,CA,1587076815
77,Vila Velha,-20.33,-40.29,78.8,83,40,10.29,BR,1587076646
78,Codrington,-38.27,141.97,59.74,66,69,19.66,AU,1587076911
79,Tayu,-6.54,111.05,81.63,81,41,3.67,ID,1587076911
80,Bridlington,54.08,-0.19,46.99,100,7,9.17,GB,1587076911
81,Bakchar,57.02,82.07,33.87,90,49,2.62,RU,1587076912
82,Thompson,55.74,-97.86,28.4,50,75,9.17,CA,1587076912
83,San Miguel de Cozumel,20.51,-86.95,87.01,62,40,16.11,MX,1587076820
84,Charters Towers,-20.1,146.27,81.3,55,12,10.18,AU,1587076912
85,Kavieng,-2.57,150.8,77.56,92,100,20.78,PG,1587076913
86,El Tocuyo,9.79,-69.79,86.0,48,20,6.93,VE,1587076913
87,Fomboni,-12.28,43.74,83.91,72,98,8.01,KM,1587076913
88,Likasi,-10.98,26.73,64.92,64,93,3.33,CD,1587076914
89,Ahipara,-35.17,173.17,66.29,85,100,18.25,NZ,1587076914
90,Itumba,-9.4,33.18,62.47,64,68,3.89,TZ,1587076914
91,Isangel,-19.55,169.27,78.8,83,75,16.31,VU,1587076747
92,George Town,5.41,100.34,82.4,88,20,3.51,MY,1587076914
93,Penzance,50.12,-5.54,55.0,93,82,12.75,GB,1587076915
94,Hervey Bay,-25.3,152.85,79.0,83,0,5.82,AU,1587076915
95,Mashhad,36.3,59.61,50.0,87,0,1.99,IR,1587076623
96,Alofi,-19.06,-169.92,78.8,83,75,12.75,NU,1587076888
97,Hong Kong,22.29,114.16,73.0,88,40,6.93,HK,1587076826
98,Cape Town,-33.93,18.42,60.01,93,86,3.36,ZA,1587076916
99,Gimli,50.63,-96.99,35.01,46,93,1.99,CA,1587076628
100,Pisco,-13.7,-76.22,75.99,30,11,19.46,PE,1587076690
101,New Norfolk,-42.78,147.06,48.99,66,20,19.46,AU,1587076784
102,Upernavik,72.79,-56.15,24.69,89,100,9.66,GL,1587076840
103,Saquarema,-22.92,-42.51,75.2,73,90,11.41,BR,1587076917
104,Kaduqli,11.02,29.72,75.43,12,21,8.7,SD,1587076917
105,Castro,-24.79,-50.01,53.17,38,0,1.72,BR,1587076917
106,Tiksi,71.69,128.87,-4.56,91,100,7.18,RU,1587076682
107,Bambous Virieux,-20.34,57.76,75.2,73,40,12.75,MU,1587076917
108,Turukhansk,65.82,87.98,33.82,90,98,8.28,RU,1587076918
109,Albany,42.6,-73.97,42.8,35,40,14.99,US,1587076918
110,Dikson,73.51,80.55,-1.68,86,0,9.62,RU,1587076767
111,Berlevåg,70.86,29.09,36.37,83,97,17.07,NO,1587076918
112,Vostok,46.49,135.88,48.83,35,0,1.54,RU,1587076919
113,Husavik,66.04,-17.34,41.0,65,37,21.92,IS,1587076919
114,Iquique,-20.22,-70.14,69.8,68,1,20.8,CL,1587076919
115,Poya,-21.35,165.15,79.27,69,9,3.78,NC,1587076919
116,Ingrāj Bāzār,25.0,88.15,72.59,80,0,5.41,IN,1587076919
117,Manta,-0.95,-80.73,82.4,78,40,8.05,EC,1587076766
118,‘Ewa Beach,21.32,-158.01,82.4,51,40,18.34,US,1587076920
119,Portland,45.52,-122.68,71.01,16,1,24.16,US,1587076902
120,Hermanus,-34.42,19.23,60.01,94,92,2.26,ZA,1587076920
121,Matiri,-10.75,34.9,61.39,70,22,2.75,TZ,1587076920
122,Torbay,47.67,-52.73,37.4,86,90,20.8,CA,1587076722
123,Mocuba,-16.84,36.99,70.74,93,4,2.75,MZ,1587076921
124,Liverpool,53.41,-2.98,53.01,50,72,18.34,GB,1587076905
125,Tasiilaq,65.61,-37.64,30.2,92,100,28.86,GL,1587076921
126,Dunedin,-45.87,170.5,48.99,80,100,11.36,NZ,1587076922
127,Mahébourg,-20.41,57.7,75.2,73,40,12.75,MU,1587076922
128,Marsh Harbour,26.54,-77.06,75.76,88,57,20.22,BS,1587076741
129,Nome,64.5,-165.41,34.0,100,90,16.11,US,1587076922
130,Stykkisholmur,65.08,-22.73,40.78,89,94,14.09,IS,1587076923
131,Ostrovnoy,68.05,39.51,33.46,93,100,20.31,RU,1587076707
132,Pangnirtung,66.15,-65.71,19.4,67,75,3.36,CA,1587076923
133,Chui,-33.7,-53.46,62.49,87,4,8.14,UY,1587076924
134,Tazovsky,67.47,78.7,19.63,98,68,2.64,RU,1587076924
135,Lavrentiya,65.58,-171.0,30.76,97,100,9.17,RU,1587076924
136,Juneau,58.3,-134.42,44.6,93,90,3.36,US,1587076924
137,Seryshevo,51.09,128.38,51.57,40,6,5.44,RU,1587076924
138,Nuuk,64.18,-51.72,28.4,86,75,29.97,GL,1587076925
139,Norman Wells,65.28,-126.83,42.8,93,90,11.41,CA,1587076925
140,Fairhope,30.52,-87.9,77.0,17,1,5.82,US,1587076925
141,Soyo,-6.13,12.37,81.12,87,100,4.72,AO,1587076925
142,Gravelbourg,49.88,-106.55,38.89,50,100,10.89,CA,1587076926
143,Ponta do Sol,32.67,-17.1,62.6,63,20,6.93,PT,1587076926
144,Chivay,-15.64,-71.6,46.71,20,46,5.17,PE,1587076926
145,Bathsheba,13.22,-59.52,80.6,74,40,14.99,BB,1587076926
146,Salinas,36.68,-121.66,72.0,71,90,12.75,US,1587076927
147,Carnarvon,-24.87,113.63,75.2,73,90,9.17,AU,1587076673
148,Tezu,27.92,96.17,69.85,68,100,2.51,IN,1587076927
149,Souillac,-20.52,57.52,75.2,73,40,12.75,MU,1587076927
150,Mar del Plata,-38.0,-57.56,62.01,87,0,3.36,AR,1587076673
151,Ilulissat,69.22,-51.1,33.8,55,88,16.11,GL,1587076928
152,Sitka,57.05,-135.33,46.4,93,90,8.05,US,1587076628
153,Kavaratti,10.57,72.64,83.75,68,77,2.24,IN,1587076839
154,Tuatapere,-46.13,167.68,46.0,95,98,5.01,NZ,1587076929
155,Nador,35.17,-2.93,62.6,88,40,2.15,MA,1587076929
156,Kabalo,-6.05,26.92,71.96,79,93,3.47,CD,1587076929
157,Dingle,11.0,122.67,83.97,72,39,10.09,PH,1587076687
158,Zhezkazgan,47.8,67.71,43.99,52,0,8.84,KZ,1587076929
159,Najrān,17.49,44.13,75.2,53,2,6.93,SA,1587076872
160,Kenai,60.55,-151.26,45.0,100,90,12.75,US,1587076930
161,Puerto Palomas,31.77,-107.62,78.8,9,1,14.99,MX,1587076930
162,Kattivākkam,13.22,80.32,82.99,83,40,3.36,IN,1587076930
163,San Cristobal,7.77,-72.22,87.8,48,40,10.29,VE,1587076930
164,Ust'-Donetskiy,47.64,40.87,47.95,64,58,24.61,RU,1587076930
165,Cidreira,-30.18,-50.21,65.86,78,4,11.36,BR,1587076728
166,Saint-Joseph,-21.37,55.62,73.4,69,19,14.99,RE,1587076744
167,Saiha,22.48,92.97,64.44,66,23,1.79,IN,1587076931
168,Gamboula,4.12,15.14,72.0,79,73,3.8,CF,1587076931
169,Richards Bay,-28.78,32.04,68.99,79,13,5.35,ZA,1587076932
170,Hamilton,39.18,-84.53,52.0,34,1,10.29,US,1587076874
171,Ambilobe,-13.2,49.05,73.45,77,12,7.0,MG,1587076932
172,Lüderitz,-26.65,15.16,57.2,82,41,19.46,NA,1587076697
173,Yaan,7.38,8.57,84.56,65,45,13.35,NG,1587076932
174,Saint Paul Harbor,57.79,-152.41,46.4,81,40,5.82,US,1587076686
175,Mazatlan,25.2,-99.82,69.21,71,100,6.76,MX,1587076933
176,Tilichiki,60.47,166.1,17.64,93,2,9.15,RU,1587076933
177,Hohhot,40.81,111.65,30.2,68,0,2.24,CN,1587076933
178,Kungurtug,50.6,97.52,37.29,55,100,3.51,RU,1587076934
179,Srednekolymsk,67.45,153.68,6.75,92,100,9.95,RU,1587076934
180,Houston,29.76,-95.36,75.99,49,75,17.22,US,1587076925
181,Newport,51.59,-3.0,55.4,81,0,5.82,GB,1587076889
182,Alice Springs,-23.7,133.88,62.6,59,66,5.82,AU,1587076934
183,Gigmoto,13.78,124.39,82.54,78,96,13.8,PH,1587076935
184,Lebu,-37.62,-73.65,56.3,87,10,8.7,CL,1587076935
185,Kapuskasing,49.42,-82.43,26.6,42,90,10.29,CA,1587076935
186,Lorengau,-2.02,147.27,82.04,77,99,6.6,PG,1587076773
187,Aktash,50.3,87.73,19.72,54,9,0.65,RU,1587076815
188,Laguna,38.42,-121.42,82.0,34,1,4.7,US,1587076936
189,Kodinsk,58.69,99.18,37.89,76,26,0.98,RU,1587076936
190,Kutum,14.2,24.67,60.4,15,12,8.88,SD,1587076915
191,Airai,-8.93,125.41,69.06,58,6,3.22,TL,1587076936
192,Bengkulu,-3.8,102.27,76.08,89,100,5.3,ID,1587076936
193,Lagoa,39.05,-27.98,59.43,81,7,13.82,PT,1587076862
194,Nouadhibou,20.93,-17.03,66.2,82,59,16.11,MR,1587076937
195,Hofn,64.25,-15.21,40.71,69,39,12.82,IS,1587076937
196,Shiozawa,37.03,138.85,48.0,67,14,4.25,JP,1587076937
197,Tumut,-35.3,148.22,58.33,43,4,10.04,AU,1587076937
198,Mount Gambier,-37.83,140.77,55.4,93,40,13.87,AU,1587076938
199,Igurusi,-8.85,33.85,63.88,54,77,4.47,TZ,1587076938
200,Kerema,-7.96,145.78,80.42,79,78,9.64,PG,1587076938
201,Tura,25.52,90.22,67.12,67,79,1.34,IN,1587076757
202,Hrodna,53.69,23.83,34.3,83,0,7.31,BY,1587076938
203,Narsaq,60.92,-46.05,32.0,91,100,4.63,GL,1587076764
204,Harper,4.38,-7.72,81.41,86,56,9.08,LR,1587076939
205,Nikolskoye,59.7,30.79,35.6,90,20,11.18,RU,1587076939
206,Zhangaözen,43.3,52.8,47.75,51,86,13.15,KZ,1587076939
207,Yuci,37.68,112.73,46.4,24,0,8.95,CN,1587076940
208,Raudeberg,61.99,5.14,39.2,64,28,8.05,NO,1587076941
209,Adrar,20.5,-10.07,85.62,24,35,6.06,MR,1587076941
210,Rovaniemi,66.5,25.72,30.2,74,99,9.17,FI,1587076835
211,Belpasso,37.59,14.98,55.99,87,78,5.82,IT,1587076941
212,Furano,43.28,142.47,37.4,64,75,5.82,JP,1587076942
213,Port Lincoln,-34.73,135.87,62.58,60,24,9.75,AU,1587076942
214,Yartsevo,55.07,32.7,34.56,82,97,11.74,RU,1587076942
215,San Patricio,19.22,-104.7,77.0,73,5,11.41,MX,1587076684
216,Jinxiang,22.86,115.7,71.01,81,38,4.14,CN,1587076942
217,Caravelas,-17.71,-39.25,78.21,86,30,6.73,BR,1587076943
218,Hithadhoo,-0.6,73.08,84.54,70,68,6.69,MV,1587076678
219,Pachelma,53.24,43.35,39.33,81,99,14.29,RU,1587076943
220,Churapcha,62.0,132.43,8.04,82,0,6.31,RU,1587076911
221,Anaco,9.44,-64.47,81.32,54,100,5.79,VE,1587076943
222,Beisfjord,68.38,17.6,30.99,92,97,9.17,NO,1587076944
223,Kruisfontein,-34.0,24.73,55.72,64,12,4.0,ZA,1587076944
224,Batemans Bay,-35.72,150.18,70.0,76,46,2.06,AU,1587076918
225,Seymchan,62.88,152.43,7.81,89,100,13.67,RU,1587076701
226,Oktyabr'skiy,54.48,53.47,35.11,81,37,11.18,RU,1587076944
227,Uray,60.12,64.78,46.29,73,100,12.48,RU,1587076945
228,Moberly,39.42,-92.44,53.6,43,75,14.99,US,1587076945
229,Guerrero Negro,27.98,-114.06,72.0,35,100,14.79,MX,1587076945
230,Rūdbār,30.15,62.6,61.39,66,73,7.94,AF,1587076666
231,Lázaro Cárdenas,17.96,-102.2,82.74,47,0,5.39,MX,1587076945
232,Olafsvik,64.89,-23.71,42.49,94,99,18.32,IS,1587076946
233,Paamiut,61.99,-49.67,27.43,92,93,11.32,GL,1587076946
234,Mandera,3.94,41.87,80.01,15,96,13.71,KE,1587076946
235,São Filipe,14.9,-24.5,72.16,74,74,14.07,CV,1587076690
236,Henties Bay,-22.12,14.28,55.99,89,5,1.01,NA,1587076946
237,Okakarara,-20.58,17.43,65.3,19,1,4.05,NA,1587076947
238,Muzhi,65.37,64.67,34.84,96,100,15.68,RU,1587076947
239,Pastavy,55.12,26.83,33.35,85,44,10.87,BY,1587076947
240,Batagay-Alyta,67.8,130.41,-2.09,81,100,16.08,RU,1587076947
241,Numāligarh,26.63,93.75,68.99,73,29,2.51,IN,1587076948
242,Bud,39.45,-86.18,50.0,48,40,6.93,US,1587076948
243,Mossamedes,-15.2,12.15,75.2,61,0,5.41,AO,1587076752
244,Fort Nelson,58.81,-122.7,59.0,30,75,16.11,CA,1587076949
245,Saint George,37.1,-113.58,73.4,20,20,17.22,US,1587076901
246,Nabire,-3.37,135.48,79.93,81,97,0.96,ID,1587076950
247,Petropavlovsk-Kamchatskiy,53.05,158.65,37.4,74,75,2.24,RU,1587076950
248,Waingapu,-9.66,120.26,80.94,76,48,3.56,ID,1587076950
249,Khumalag,43.24,44.48,32.0,56,29,6.71,RU,1587076951
250,Deputatsky,69.3,139.9,-1.97,85,100,5.82,RU,1587076951
251,Luís Correia,-2.88,-41.67,77.92,89,92,2.21,BR,1587076951
252,Gao,16.64,1.64,86.45,11,10,9.42,ML,1587076951
253,Saint-François,46.42,3.91,59.0,54,82,4.7,FR,1587076851
254,Sungai Penuh,-2.08,101.38,65.97,74,100,0.72,ID,1587076952
255,Grand-Santi,4.25,-54.38,75.31,88,99,3.51,GF,1587076952
256,Sola,-13.88,167.55,82.63,77,96,15.9,VU,1587076952
257,Touros,-5.2,-35.46,78.8,88,20,4.7,BR,1587076953
258,Atlantic City,39.36,-74.42,50.0,31,40,17.22,US,1587076952
259,West Bay,19.37,-81.42,86.0,74,20,6.93,KY,1587076953
260,Khatanga,71.97,102.5,4.93,90,0,12.06,RU,1587076953
261,Luena,-11.78,19.92,62.83,64,79,2.48,AO,1587076953
262,Aljustrel,37.88,-8.17,59.0,87,20,8.05,PT,1587076954
263,Altay,47.87,88.12,40.95,41,57,4.18,CN,1587076954
264,Goryachegorsk,55.41,88.92,34.07,78,95,5.17,RU,1587076954
265,Xam Nua,20.42,104.04,68.61,57,84,1.05,LA,1587076954
266,Agadez,19.75,10.25,79.29,14,81,4.18,NE,1587076954
267,West Wendover,40.74,-114.07,50.0,25,90,5.82,US,1587076955
268,Pagudpud,18.56,120.79,73.4,88,20,3.36,PH,1587076955
269,Qaqortoq,60.72,-46.03,32.0,93,100,7.07,GL,1587076955
270,Garoowe,8.41,48.48,77.85,68,15,10.65,SO,1587076955
271,Natal,-5.79,-35.21,78.8,88,20,6.93,BR,1587076956
272,Ixtapa,20.7,-105.2,77.0,57,75,11.41,MX,1587076956
273,San Vicente,-26.62,-54.13,52.34,58,0,3.18,AR,1587076956
274,Kumluca,36.37,30.29,60.98,50,0,6.49,TR,1587076957
275,Pauini,-7.71,-66.98,73.42,93,80,3.29,BR,1587076957
276,Samfya,-11.36,29.56,64.67,66,82,5.48,ZM,1587076957
277,Östersund,63.18,14.64,33.01,85,31,23.04,SE,1587076787
278,Longyearbyen,78.22,15.64,28.4,79,40,4.56,SJ,1587076957
279,Muros,42.78,-9.06,60.01,100,75,8.05,ES,1587076958
280,Udachny,66.42,112.4,-0.4,77,64,6.71,RU,1587076681
281,Grootfontein,-19.57,18.12,66.6,32,49,4.09,NA,1587076958
282,Beitbridge,-22.22,30.0,71.24,69,8,14.79,ZW,1587076959
283,Aswān,24.09,32.91,75.13,19,66,12.5,EG,1587076959
284,Mount Isa,-20.73,139.5,71.6,49,35,11.01,AU,1587076959
285,Middelburg,-25.78,29.46,53.02,35,0,8.5,ZA,1587076959
286,Geraldton,-28.77,114.6,62.6,77,86,4.7,AU,1587076960
287,Praia,14.92,-23.51,70.5,77,71,12.46,CV,1587076834
288,Koungheul,13.98,-14.8,85.95,18,42,6.2,SN,1587076960
289,Ngunguru,-35.62,174.5,72.0,77,89,8.01,NZ,1587076817
290,Tefé,-3.35,-64.71,82.4,83,40,3.36,BR,1587076960
291,Esperance,-33.87,121.9,53.6,87,75,8.05,AU,1587076961
292,Tharād,24.4,71.63,79.77,56,88,10.45,IN,1587076961
293,Dicabisagan,17.08,122.42,79.47,78,81,2.44,PH,1587076961
294,Broome,42.25,-75.83,36.0,50,90,12.75,US,1587076856
295,Saldanha,-33.01,17.94,59.97,91,83,8.32,ZA,1587076878
296,Oranjemund,-28.55,16.43,55.96,82,5,6.38,NA,1587076725
297,Shankargarh,25.18,81.62,82.78,16,26,1.05,IN,1587076962
298,Bondo,3.81,23.69,74.32,51,35,1.28,CD,1587076962
299,Bilma,18.69,12.92,83.41,12,96,8.3,NE,1587076962
300,Marsá Maţrūḩ,31.35,27.25,59.0,77,75,11.41,EG,1587076963
301,Koumac,-20.57,164.28,80.8,68,6,1.81,NC,1587076880
302,Nantucket,41.28,-70.1,45.0,65,90,9.17,US,1587076963
303,Departamento de Maldonado,-34.67,-54.92,64.4,88,75,5.82,UY,1587076963
304,Kimbe,-5.55,150.14,85.6,67,100,1.92,PG,1587076963
305,Al Bardīyah,31.76,25.09,57.47,74,1,8.59,LY,1587076964
306,College,64.86,-147.8,44.6,70,90,12.75,US,1587076964
307,Conde,-7.26,-34.91,77.0,94,75,4.7,BR,1587076964
308,Keti Bandar,24.14,67.45,79.03,77,95,9.66,PK,1587076922
309,Vanimo,-2.67,141.3,84.25,70,49,2.39,PG,1587076965
310,Kawalu,-7.38,108.21,76.62,76,46,1.95,ID,1587076965
311,Tongliao,43.61,122.27,50.76,60,100,5.35,CN,1587076965
312,Vila,42.03,-8.16,60.01,100,75,6.93,PT,1587076702
313,Margaritas,20.45,-102.47,87.17,9,28,9.8,MX,1587076965
314,Neuquén,-38.95,-68.06,73.4,53,85,6.29,AR,1587076966
315,Fukuechō,32.69,128.84,63.97,76,97,17.45,JP,1587076966
316,Siderópolis,-28.6,-49.42,59.74,64,0,4.0,BR,1587076966
317,Saint-Augustin,51.23,-58.65,24.78,90,80,8.46,CA,1587076966
318,Vardø,70.37,31.11,35.6,85,75,13.87,NO,1587076837
319,Waitati,-45.75,170.57,48.99,85,100,3.0,NZ,1587076967
320,Oyem,1.6,11.58,70.21,81,100,3.74,GA,1587076967
321,Rosarito,32.33,-117.03,75.2,43,5,16.11,MX,1587076967
322,Dholka,22.72,72.47,86.0,45,20,8.05,IN,1587076967
323,Bima,-8.47,118.72,81.59,72,41,0.83,ID,1587076968
324,Khovd,48.01,91.64,40.19,48,100,3.36,MN,1587076968
325,Viedma,-40.81,-63.0,71.35,37,63,16.4,AR,1587076758
326,Baharly,38.44,57.43,61.36,33,0,2.84,TM,1587076968
327,Saint Anthony,45.02,-93.22,46.99,24,75,9.17,US,1587076845
328,Okhotsk,59.38,143.3,23.36,84,18,9.28,RU,1587076969
329,Tautira,-17.73,-149.15,87.8,66,8,10.29,PF,1587076969
330,Warri,5.52,5.75,81.21,89,99,4.85,NG,1587076969
331,Beirut,33.89,35.49,66.2,88,75,16.11,LB,1587076911
332,Ocós,14.51,-92.19,91.4,49,40,11.41,GT,1587076970
333,Kuril'sk,45.23,147.88,29.91,92,66,5.88,RU,1587076970
334,Danville,36.59,-79.39,64.99,17,1,13.87,US,1587076971
335,Zemio,5.03,25.14,74.07,51,41,1.86,CF,1587076971
336,Beruwala,6.48,79.98,78.37,85,38,3.94,LK,1587076971
337,Port Hedland,-20.32,118.57,77.0,88,98,6.93,AU,1587076970
338,Avera,33.19,-82.53,72.0,26,1,5.82,US,1587076972
339,Krutinka,56.01,71.51,43.47,68,100,10.71,RU,1587076972
340,Diamantino,-14.41,-56.45,71.33,82,10,4.43,BR,1587076972
341,Kirakira,-10.45,161.92,80.01,81,100,4.97,SB,1587076972
342,Foumban,5.73,10.9,66.76,72,100,4.59,CM,1587076973
343,Yaring,6.87,101.37,80.6,83,98,10.11,TH,1587076973
344,Elizabeth City,36.29,-76.25,64.0,51,1,4.7,US,1587076973
345,Arroyo de la Encomienda,41.61,-4.8,51.01,100,37,6.93,ES,1587076973
346,Santa Maria,-29.68,-53.81,69.8,56,75,3.36,BR,1587076954
347,Kazanskaya,45.41,40.44,45.0,64,16,23.49,RU,1587076975
348,Lianhe,47.13,129.27,56.12,33,100,1.39,CN,1587076975
349,San Jose de Guanipa,8.89,-64.17,86.74,34,92,5.79,VE,1587076975
350,Rosamorada,22.12,-105.21,85.84,27,47,7.16,MX,1587076975
351,Nelson Bay,-32.72,152.15,73.99,78,40,6.93,AU,1587076889
352,Mumbwa,-14.98,27.06,65.35,58,7,3.71,ZM,1587076976
353,Vylkove,45.4,29.59,50.34,64,83,10.56,UA,1587076976
354,Ucluelet,48.93,-125.55,72.0,36,5,5.82,CA,1587076976
355,Cody,44.53,-109.06,41.0,50,90,8.05,US,1587076976
356,South Charleston,38.37,-81.7,54.0,25,20,6.93,US,1587076976
357,Launceston,-41.45,147.17,55.99,66,40,11.41,AU,1587076977
358,Aden,12.78,45.04,82.45,76,6,9.69,YE,1587076862
359,Santa Barbara,34.42,-119.7,72.0,68,40,6.93,US,1587076977
360,Jumla,29.27,82.18,48.13,25,85,3.56,NP,1587076732
361,Bambanglipuro,-7.95,110.28,80.4,82,88,6.55,ID,1587076978
362,Kalmunai,7.42,81.82,80.96,77,56,3.53,LK,1587076845
363,Glace Bay,46.2,-59.96,36.0,47,20,10.29,CA,1587076822
364,Káto Glykóvrysi,36.83,22.78,57.99,77,1,2.06,GR,1587076978
365,Kamyshla,54.12,52.14,36.0,78,19,13.94,RU,1587076978
366,Hailun,47.45,126.93,52.95,36,100,2.95,CN,1587076979
367,Eyl,7.98,49.82,83.16,75,4,9.17,SO,1587076979
368,Metu,8.3,35.58,61.97,49,48,2.01,ET,1587076979
369,Talnakh,69.49,88.4,21.2,73,34,17.9,RU,1587076825
370,San Isidro,-12.12,-77.05,78.8,61,26,10.29,PE,1587076980
371,Porto-Novo,6.5,2.6,86.0,84,40,11.41,BJ,1587076980
372,Manicoré,-5.81,-61.3,77.0,94,98,2.24,BR,1587076942
373,Ballina,-28.87,153.57,75.99,60,15,6.93,AU,1587076980
374,Ketchikan,55.34,-131.65,51.8,76,90,18.34,US,1587076981
